Date,Open,High,Low,Close,Volume
2022-03-02,872.1300049,886.4799805,844.2700195,879.8900146,24881100
2022-03-03,878.7700195,886.4400024,832.5999756,839.289978,20541200
2022-03-04,849.0999756,855.6500244,825.1599731,838.289978,22333200
2022-03-07,856.2999878,866.1400146,804.5700073,804.5800171,24164700
2022-03-08,795.5300293,849.9899902,782.1699829,824.4000244,26799700
2022-03-09,839.4799805,860.5599976,832.0100098,858.9699707,19728000
2022-03-10,851.4500122,854.4500122,810.3599854,838.2999878,19549500
2022-03-11,840.2000122,843.7999878,793.7700195,795.3499756,22345700
2022-03-14,780.6099854,800.7000122,756.039978,766.3699951,23717400
2022-03-15,775.2700195,805.5700073,756.5700073,801.8900146,22280400
2022-03-16,809,842,802.2600098,840.2299805,28009600
2022-03-17,830.9899902,875,825.7199707,871.5999756,22194300
2022-03-18,874.4899902,907.8499756,867.3900146,905.3900146,33471400
2022-03-21,914.9799805,942.8499756,907.0900269,921.1599731,27327200
2022-03-22,930,997.8599854,921.75,993.9799805,35289500
2022-03-23,979.9400024,1040.699951,976.4000244,999.1099854,40225400
2022-03-24,1009.72998,1024.48999,988.7999878,1013.919983,22973600
2022-03-25,1008,1021.799988,997.3200073,1010.640015,20677200
2022-03-28,1065.099976,1097.880005,1053.599976,1091.839966,34168700
2022-03-29,1107.98999,1114.77002,1073.109985,1099.569946,24538300
2022-03-30,1091.170044,1113.949951,1084,1093.98999,19955000
2022-03-31,1094.569946,1103.140015,1076.640015,1077.599976,16330900
2022-04-01,1081.150024,1094.75,1066.640015,1084.589966,18087700
2022-04-04,1089.380005,1149.910034,1072.530029,1145.449951,27345300
2022-04-05,1136.300049,1152.869995,1087.300049,1091.26001,26691700
2022-04-06,1073.469971,1079,1027.699951,1045.76001,29782800
2022-04-07,1052.390015,1076.589966,1021.539978,1057.26001,26482400
2022-04-08,1043.209961,1048.439941,1022.440002,1025.48999,18337900
2022-04-11,980.4000244,1008.469971,974.6400146,975.9299927,19785700
2022-04-12,997.6400146,1021.190002,976.5999756,986.9500122,21992000
2022-04-13,981.0800171,1026.23999,973.0999756,1022.369995,18373700
2022-04-14,999.289978,1012.710022,982.1900024,985,19474100
2022-04-18,989.0300293,1014.919983,973.4099731,1004.289978,17238400
2022-04-19,1005.059998,1034.939941,995.3300171,1028.150024,16615900
2022-04-20,1030,1034,975.25,977.2000122,23570400
2022-04-21,1074.72998,1092.219971,996.4199829,1008.780029,35138800
2022-04-22,1014.909973,1034.849976,994,1005.049988,23232200
2022-04-25,978.9699707,1008.619995,975.2999878,998.0200195,22780400
2022-04-26,995.4299927,1000,875,876.4199829,45377900
2022-04-27,898.5800171,918,877.3599854,881.5100098,25652100
2022-04-28,899.9799805,900,821.7000122,877.5100098,41649500
2022-04-29,902.25,934.4000244,870,870.7600098,29377700
2022-05-02,860.7700195,906.3599854,848.0300293,902.9400024,25260500
2022-05-03,903.1799927,924.0800171,888.5900269,909.25,21236500
2022-05-04,903.9400024,955.5,885.2800293,952.6199951,27214600
2022-05-05,939.0200195,945.5999756,857.7000122,873.2800293,30839700
2022-05-06,887,888,843.1099854,865.6500244,24301000
2022-05-09,836.4500122,845.6300049,781.1500244,787.1099854,30270100
2022-05-10,819.3099976,825.3599854,774.25,800.039978,28133900
2022-05-11,795,809.7700195,727.2000122,734,32408200
2022-05-12,701,759.6599731,680,728,46771000
2022-05-13,773.4799805,787.3499756,751.5700073,769.5900269,30716900
2022-05-16,767.1599731,769.7600098,719.0900269,724.3699951,28699500
2022-05-17,747.3599854,764.4799805,728.8499756,761.6099854,26745400
2022-05-18,744.5200195,760.5,700.8099976,709.8099976,29270600
2022-05-19,707,734,694.1099854,709.4199829,30098900
2022-05-20,713.9899902,721.5800171,633,663.9000244,48324400
2022-05-23,655.0200195,679.960022,638.0599976,674.9000244,29634500
2022-05-24,653.5300293,653.9199829,620.5700073,628.1599731,29697500
2022-05-25,623.8499756,669.3200073,623.0100098,658.7999878,30713100
2022-05-26,661.4199829,718.6699829,653.6599731,707.7299805,35334400
2022-05-27,723.25,759.7999878,720.5300293,759.6300049,29765000
2022-05-31,773.8400269,778.7999878,734.2299805,758.2600098,33971500
2022-06-01,755.1599731,771.9799805,730.9199829,740.3699951,25749300
2022-06-02,732.4699707,792.6300049,726.2000122,775,31157700
2022-06-03,729.6799927,743.3900146,700.25,703.5499878,37348100
2022-06-06,733.0599976,734.5999756,703.0499878,714.8400269,28068200
2022-06-07,702,719.9899902,690.2800293,716.6599731,24269500
2022-06-08,720.2600098,749.8900146,717.5300293,725.5999756,25403500
2022-06-09,748.0200195,766.6400146,717.9799805,719.1199951,32163800
2022-06-10,705.4699707,718.5,683.7399902,696.6900024,32512200
2022-06-13,669.5,679.9000244,644.0499878,647.210022,34255800
2022-06-14,654.8599854,678.9899902,635.210022,662.6699829,32562500
